V01;V02;V03;V04;V05;V00;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V28;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V165;V166
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;agentes polinizadores;color de flores;duracion de la floracion;meses de floracion;recurso para abejass;sistema de polinizacion;tamano de corola;tipo de flor por corola;edad minima de produccion de fruta;frutas autoconsumo;frutas para la venta;meses de fructificacion;tipo de fruto segun el contenido de azucares (aplica a frutales);tipo de fruto variable combinada;agentes (animales) que ayudan a la germinaci?n;d!as a germinaci?n en vivero;forma de semilla;humedad de almacenamiento semilla;humedad ideal a germinaci?n semilla;largo de semilla;meses de dispersion de la semilla;modo de dispersi?n de la semilla por animales;numero de semillas por kilogramo;presente en viveros;semillas comestible por las personas;tasa de germinaci?n en vivero;tasa de parasitismo de semillas en campo;temperatur de almacenamiento de la semilla;tiempo de dormancia;t!po de dispersion;tipo de semilla por viabilidad;tratamiento pre-germinativo;peso de mil-semillas;peso por semilla
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;NA;NA;NA;NA;NA;NA;"48;60";;;NA;;NA;NA;"180;360";NA;NA;NA;NA;1,2,3,4,5,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;marron;NA;NA;NA;NA;"1.1;1.6";tubular;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;turbinado;NA;NA;NA;NA;NA;NA;NA;ornitocoria,mamaliocoria;NA;NA;NA;NA;NA;NA;NA;zoocoria,hidrocoria;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;5;9,10,11,12,1,2,3;NA;NA;NA;NA;NA;;;1,2,3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;si;NA;agridulce;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Berg, 1978;c18;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Casallas-Pabon et al., 2017;c35;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;murcielagos;NA;NA;NA;NA;NA;NA;quiropterocoria;NA;NA;NA;NA;NA;NA;NA;zoocoria;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Garcia & Araujo, 2019;c82;NA;NA;NA;NA;NA;cruzada;NA;tubular;NA;;;NA;;aquenio;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;ICRAF Database - Tree Species;c203;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Perez, 2021;c138;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Rodriguez & Cuellar, 2021;c157;NA;NA;NA;1,2,3,4,6,7,8,11,12;NA;NA;"0.19;0.25";NA;NA;;;1,2,3,4,5,9,10,11,12;;NA;NA;16;ovalada;NA;NA;"0.1;0.28";NA;ornitocoria;NA;si;NA;"50;97";NA;NA;NA;NA;recalcitrante;hidratacion,escarificacion,choque termico;900;0.9
;56;e92;Cecropia engleriana;Santivanez & Cabrera, 2013;c169;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Vela, 2019;c190;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Cardenas, 2018;c32;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Cauper, 2019;c38;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Flores B, 2018;c78;NA;amarilla,anaranjada;NA;NA;NA;NA;NA;NA;NA;;;NA;;samara;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Kreibich, 2002;c100;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;4,5,6,7,8;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Lezama, 2018;c105;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Ministerio del Ambiente del Ecuador, 2013;c202;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Schongart et al., 2002;c170;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Campos Filho & Rodrigues Sartorelli, 2015;c28;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Canavides, 2001;c31;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;recalcitrante;NA;NA;NA
;51;e444;Pterocarpus rohrii;CARVALHO, 2008;c201;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;"16;50";NA;NA;NA;"4;8";NA;NA;"1530;2400";NA;NA;20,70;NA;NA;NA;NA;NA;ninguno;NA;NA
;51;e444;Pterocarpus rohrii;CIMA, 2021;c41;insectos,murcielagos,colibries;NA;NA;NA;NA;cruzada;NA;NA;NA;;;NA;;NA;murcielagos,aves;NA;NA;NA;NA;NA;NA;ornitocoria,mamaliocoria,quiropterocoria;NA;NA;NA;NA;NA;NA;NA;anemocoria,zoocoria;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Flores B, 2018;c78;NA;NA;NA;NA;NA;NA;"1.3;2";NA;NA;;;NA;;samara;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Pena, 2021;c136;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Reynel et al., 2003;c151;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Reynel et al., 2016;c152;NA;amarilla;5;5,6,7,8,9;NA;NA;"1.5;2.5";papilionada;NA;;;9,10,11;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Roman et al., 2012;c162;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;"24;52";alada;NA;NA;NA;NA;NA;3400;NA;NA;77;NA;20;240;anemocoria;NA;NA;294;0.3
;51;e444;Pterocarpus rohrii;UTP (Useful Tropical Plants), 2019;c183;insectos;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;;NA;NA;NA;180;NA;NA;choque termico,escarificacion,hidratacion;NA;NA
